,lifetime,daily
bahamut,336534,600
BaloogaBrett,673572,600
BOB A F3tt,137336,600
Cele Rian,116956,600
Cherry,667600,600
ChewysDingleBe,30256,600
Chillon Dang,153464,600
Doktordrai,671246,600
Explicit Caleb,40168,600
Ganfolf,21882,600
Hammer,30600,600
Hansel,650560,342
hoc,225018,428
Inappropriate,117768,600
Jesse Pinkman,64252,600
Jimmyfromtheh,9000,600
Khatastroph,188948,600
KingB,426634,600
Kmalstrom,92400,600
Kvothe,455940,600
LadyArctic,654256,0
Matrix,677984,600
Mave,525714,600
Moisture,216750,600
MrJoestar,21972,600
Odin227,4200,600
Paco Bosco,639294,600
Pepyhz,450926,600
Pernapple,677978,600
Pizzaxpie,146562,600
Plucky Haydon,69844,600
PluckyNezki,132740,600
Prejo Coade,349572,600
Raybron,542584,600
RichardCheese,140122,600
RPBThree,312968,600
Rukh,30600,600
Sashimi,53672,600
Snoova,116998,500
Stukatz,22200,600
Turgav,572474,600
Vegeta,117822,600
Viper,230798,600
Westley,271512,600
Wolfmanjim21,404202,600
Xentry,12320,600
Yagmah,118496,600
YOUNGLINK,182092,570
Zahzah,102322,600
Zartoo,151224,600
